country,description,points,price,variety,contains_location,country_from_location,keywords
US,"Very good Dry Creek Zin, robust and dry and spicy. Really gets the tastebuds watering, with its tart flavors of sour cherry candy, red currants, blueberries, tart raisins and oodles of peppery spices. Drink this lusty wine with barbecue.",89,25.0,Zinfandel,True,US,"['Dry Creek Zin', 'robust', 'dry', 'spicy', 'sour cherry candy', 'red currants', 'blueberries', 'tart raisins', 'peppery spices', 'barbecue']"
France,"A very herbaceous character makes this wine seem rather thin. It's soft and lightweight, and the lemon zest character is mildly attractive. Ready to drink.",84,20.0,Bordeaux-style White Blend,False,None,"['herbaceous', 'thin', 'soft', 'lightweight', 'lemon zest', 'ready to drink']"
US,"A little simple and easy, but there's a wealth of raspberry, strawberry and floral notes in this delicate wine. It's a bit too sweet for my tastes, although it does have good acidity.",84,19.0,Rosé,False,None,"['simple', 'easy', 'wealth', 'raspberry', 'strawberry', 'floral notes', 'delicate', 'sweet', 'good acidity']"
US,"From a dry-farmed vineyard and treated to wild yeast and minimal new French oak, this Petite is chewy in leathery tannins, a definite crowd pleaser for Petite fans. Blackberries, coffee and pepper commingle impressively.",88,38.0,Petite Sirah,False,None,"['dry-farmed vineyard', 'wild yeast', 'minimal new French oak', 'Petite', 'chewy', 'leathery tannins', 'crowd pleaser', 'blackberries', 'coffee', 'pepper']"
US,"From a site near Annapolis, this wine shows a preponderance of dark grape and cherry flavor interwoven with cinnamon and black peppercorn. Light-bodied and ethereally layered, it has touches of rustic earthiness and leather.",91,62.0,Pinot Noir,True,US,"['dark grape', 'cherry flavor', 'cinnamon', 'black peppercorn', 'light-bodied', 'ethereally layered', 'rustic earthiness', 'leather']"
US,"A mix of Cabernet, Cab Franc and Syrah, this out-of-the-ordinary blend is a little funky and meaty, but still offers lots of juicy black fruit and a whole lot of toasted oak. If any one thing announces itself here it's the wood, which keeps everything austere and maybe a touch overcharred.",89,42.0,Bordeaux-style Red Blend,False,None,"['Cabernet', 'Cab Franc', 'Syrah', 'blend', 'funky', 'meaty', 'juicy black fruit', 'toasted oak', 'wood', 'austere', 'overcharred']"
Italy,"Taurasi is a wine that flaunts a determined and powerful personality, and Fatica Contadina is no exception, thanks to its deep layers of spice, dark fruit, tobacco and cigar that it delivers to the senses. On the palate, it is austere and tightly structured.",89,32.0,Aglianico,True,Italy,"['Taurasi', 'Fatica Contadina', 'determined', 'powerful', 'spice', 'dark fruit', 'tobacco', 'cigar', 'palate', 'austere', 'tightly structured']"
US,"Sourced entirely from Walla Walla's Les Collines Vineyard, this lovely Syrah features pretty strawberry and cherry flavors that are broadly displayed with a rich vein of chocolate. It's forward and flavorful, drinking quite nicely already, but with the stuffing to cellar for a few more years.",90,40.0,Syrah,True,US,"['Walla Walla', 'Les Collines Vineyard', 'Syrah', 'strawberry', 'cherry', 'chocolate', 'forward', 'flavorful', 'cellar']"
US,"There's a lot to like about this Viognier. It's dry and zesty in acidity, with complex flavors of citrus, peach, kumquat, white pepper, chamomile and honey.",90,20.0,Viognier,False,None,"['Viognier', 'dry', 'zesty', 'acidity', 'complex flavors', 'citrus', 'peach', 'kumquat', 'white pepper', 'chamomile', 'honey']"
US,"A crisp, refreshing Sauvignon Blanc, fermented and aged in stainless steel. Shows rich, savory citrus and green grass flavors, with hints of minerals and flowers. Very drinkable and bone-dry.",90,21.0,Sauvignon Blanc,False,None,"['crisp', 'refreshing', 'Sauvignon Blanc', 'stainless steel', 'savory', 'citrus', 'green grass', 'minerals', 'flowers', 'drinkable', 'bone-dry']"
US,"This proprietary bottling from Shafer is always a huge wine. The 2010, which contains a splash of Petite Verdot, is gigantically packed with blackberry jam, black currant, dark chocolate and sweet oak, courtesy of 20 months in 100% new French oak barrels. The wine is a bit of a bully now, but it has the balance to age. Give it until 2018.",92,72.0,Cabernet Sauvignon,True,US,"['proprietary bottling', 'Shafer', '2010', 'Petite Verdot', 'blackberry jam', 'black currant', 'dark chocolate', 'sweet oak', '20 months', '100% new French oak barrels', 'balance', 'age', '2018']"
